HDFname,Product,Date,Site,ProcessDate,Band,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
MOD15A2.A2000121.fn_usniwot1.005.2006273024925.Fpar_1km,MOD15A2,A2000121,fn_usniwot1,2006273024925,Fpar_1km,6,2,1,3,6,5,10,6,10,9,6,18,36,50,25,30,35,39,56,58,51,25,38,49,52,54,50,51,51,52,59,56,50,51,56,58,61,58,50,51,51,55,61,49,37,37,38,37,47
MOD15A2.A2000121.fn_usniwot1.005.2006273024925.LaiStdDev_1km,MOD15A2,A2000121,fn_usniwot1,2006273024925,LaiStdDev_1km,0,248,248,248,0,0,1,0,248,248,0,248,3,3,1,2,2,2,3,4,3,1,3,0,4,4,3,4,4,1,5,4,3,4,4,4,5,4,3,3,3,4,6,2,2,2,2,2,2
MOD15A2.A2000121.fn_usniwot1.005.2006273024925.Lai_1km,MOD15A2,A2000121,fn_usniwot1,2006273024925,Lai_1km,1,0,0,1,1,1,2,1,2,2,1,4,8,12,5,6,8,9,14,16,12,5,8,11,13,14,12,12,13,12,16,15,12,12,15,15,17,15,12,12,12,14,17,11,10,10,11,10,10
MOD15A2.A2000129.fn_usniwot1.005.2006274231121.FparExtra_QC,MOD15A2,A2000129,fn_usniwot1,2006274231121,FparExtra_QC,10100000,10100000,10110000,10110000,10110000,10110000,10100000,10110000,00100000,01000000,10100000,00100000,00100000,00100000,01000100,01000100,00110100,00100100,01000100,00000100,01000000,00100000,00110100,01000100,00000100,00001100,01001000,01000000,00100000,00100000,00100000,00100000,00100000,01000000,01000000,00100000,01000000,01000000,00000000,00000000,00100000,00100000,00100000,00001000,10000000,10000000,10000000,10000000,00000000
MOD15A2.A2000129.fn_usniwot1.005.2006274231121.FparLai_QC,MOD15A2,A2000129,fn_usniwot1,2006274231121,FparLai_QC,01101001,01101001,00001000,00001000,00001000,00001000,00001000,00001000,01100001,01100001,00001000,01101001,00001000,00001000,01100001,01100001,01100001,01100001,01100001,01100001,00000000,01101001,01100001,01100001,01100001,01100001,00000000,00000000,00001000,00001000,00001000,00000000,00001000,00000000,00000000,00010000,00000000,00000000,00000000,00000000,00001000,00010000,00010000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2000129.fn_usniwot1.005.2006274231121.FparStdDev_1km,MOD15A2,A2000129,fn_usniwot1,2006274231121,FparStdDev_1km,248,248,0,0,0,5,5,0,248,248,0,248,11,7,248,248,248,248,248,248,0,248,248,248,248,248,11,11,6,8,8,9,9,8,6,7,7,9,4,7,5,10,7,9,4,5,5,5,7
MOD15A2.A2000129.fn_usniwot1.005.2006274231121.Fpar_1km,MOD15A2,A2000129,fn_usniwot1,2006274231121,Fpar_1km,4,4,6,6,6,9,8,6,6,6,6,8,22,26,15,13,11,12,19,25,41,12,12,15,14,19,36,38,34,37,34,30,30,33,34,35,36,30,45,36,47,53,38,53,45,40,40,40,49
MOD15A2.A2000129.fn_usniwot1.005.2006274231121.LaiStdDev_1km,MOD15A2,A2000129,fn_usniwot1,2006274231121,LaiStdDev_1km,248,248,0,0,0,1,1,0,248,248,0,248,3,2,248,248,248,248,248,248,0,248,248,248,248,248,3,3,2,2,2,2,2,2,2,2,2,3,1,2,2,4,2,4,2,2,2,2,3
MOD15A2.A2000129.fn_usniwot1.005.2006274231121.Lai_1km,MOD15A2,A2000129,fn_usniwot1,2006274231121,Lai_1km,1,1,1,1,1,2,2,1,1,1,1,1,5,6,3,3,2,2,4,5,9,2,2,3,3,4,8,8,8,9,8,7,7,8,8,8,9,7,10,9,11,13,10,13,14,11,11,11,12
MOD15A2.A2000137.fn_usniwot1.005.2006276071905.FparExtra_QC,MOD15A2,A2000137,fn_usniwot1,2006276071905,FparExtra_QC,10110000,10110000,10110000,10110000,11000000,10110000,10110000,10110000,01000000,01000000,10110000,00110000,01000000,00000000,01000000,01000000,00110000,00000000,00000000,00001000,00000000,00110000,00001000,00001000,00001000,00001000,00000000,00000000,00001000,00001000,00001000,00000000,00000000,00000000,00000000,00001000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,10000000,10000000,10000000,10000000,00000000
MOD15A2.A2000137.fn_usniwot1.005.2006276071905.FparLai_QC,MOD15A2,A2000137,fn_usniwot1,2006276071905,FparLai_QC,01101001,01101001,01101001,01101001,00000000,00001000,00001000,00001000,01100001,01100001,00000000,01100001,00000000,00000000,01100001,01100001,00001000,00000000,00000000,00000000,00000000,00001000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2000137.fn_usniwot1.005.2006276071905.FparStdDev_1km,MOD15A2,A2000137,fn_usniwot1,2006276071905,FparStdDev_1km,248,248,248,248,0,6,7,0,248,248,6,248,6,10,248,248,9,8,10,9,10,9,11,10,10,9,11,10,10,10,10,10,11,11,10,11,9,11,10,10,10,10,10,10,5,5,5,5,6
